Default schedule
Rate	71.43
Prior Change	14.29
Tree Move	14.29
Rate Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
711	0.302391	142	0.352113	147	0.653061	2.102489	711	0.302391	0.361000	0.353849	
712	0.348315	151	0.231788	137	0.751825	2.102489	712	0.348315	0.386000	0.353978	
709	0.304654	143	0.272727	148	0.581081	2.102489	709	0.304654	0.341000	0.353926	
688	0.347384	157	0.312102	155	0.645161	2.102489	688	0.347384	0.388000	0.354063	
694	0.296830	163	0.312883	143	0.755245	2.102489	694	0.296830	0.365000	0.354106	
711	0.300985	144	0.284722	145	0.675862	2.102489	711	0.300985	0.353000	0.354102	
742	0.239892	127	0.401575	131	0.564885	2.102489	742	0.239892	0.303000	0.353900	
706	0.280453	150	0.273333	144	0.541667	2.102489	706	0.280453	0.317000	0.353755	
738	0.287263	132	0.325758	130	0.646154	2.102489	738	0.287263	0.339000	0.353697	
698	0.332378	151	0.238411	151	0.688742	2.102489	698	0.332378	0.372000	0.353768	
703	0.351351	161	0.248447	136	0.647059	2.102489	703	0.351351	0.375000	0.353851	
731	0.274966	130	0.323077	139	0.748201	2.102489	731	0.274966	0.347000	0.353824	
710	0.300000	137	0.270073	153	0.679739	2.102489	710	0.300000	0.354000	0.353825	
707	0.311174	164	0.268293	129	0.627907	2.102489	707	0.311174	0.345000	0.353791	
707	0.301273	151	0.225166	142	0.619718	2.102489	707	0.301273	0.335000	0.353719	
704	0.321023	153	0.176471	143	0.559441	2.102489	704	0.321023	0.333000	0.353640	
698	0.297994	161	0.322981	141	0.673759	2.102489	698	0.297994	0.355000	0.353645	
732	0.303279	133	0.308271	135	0.644444	2.102489	732	0.303279	0.350000	0.353631	
730	0.313699	138	0.246377	132	0.734848	2.102489	730	0.313699	0.360000	0.353655	
726	0.353994	128	0.226562	146	0.630137	2.102489	726	0.353994	0.378000	0.353747	
690	0.305797	155	0.264516	155	0.593548	2.102489	690	0.305797	0.344000	0.353710	
705	0.319149	155	0.193548	140	0.664286	2.102489	705	0.319149	0.348000	0.353689	
682	0.294721	156	0.288462	162	0.648148	2.102489	682	0.294721	0.351000	0.353679	
710	0.323944	135	0.259259	155	0.554839	2.102489	710	0.323944	0.351000	0.353669	
715	0.307692	146	0.356164	139	0.553957	2.102489	715	0.307692	0.349000	0.353652	
709	0.328632	152	0.296053	139	0.640288	2.102489	709	0.328632	0.367000	0.353701	
712	0.310393	148	0.358108	140	0.650000	2.102489	712	0.310393	0.365000	0.353742	
707	0.319661	138	0.282609	155	0.496774	2.102489	707	0.319661	0.342000	0.353699	
718	0.338440	148	0.344595	134	0.723881	2.102489	718	0.338440	0.391000	0.353835	
729	0.314129	142	0.359155	129	0.759690	2.102489	729	0.314129	0.378000	0.353923	
718	0.305014	140	0.307143	142	0.626761	2.102489	718	0.305014	0.351000	0.353912	
726	0.307163	140	0.285714	134	0.634328	2.102489	726	0.307163	0.348000	0.353891	
726	0.304408	123	0.260163	151	0.642384	2.102489	726	0.304408	0.350000	0.353877	
700	0.324286	145	0.255172	155	0.625806	2.102489	700	0.324286	0.361000	0.353902	
703	0.290185	153	0.202614	144	0.680556	2.102489	703	0.290185	0.333000	0.353828	
713	0.304348	140	0.342857	147	0.714286	2.102489	713	0.304348	0.370000	0.353885	
722	0.335180	125	0.248000	153	0.575163	2.102489	722	0.335180	0.361000	0.353910	
714	0.291317	142	0.380282	144	0.652778	2.102489	714	0.291317	0.356000	0.353918	
705	0.312057	158	0.221519	137	0.635036	2.102489	705	0.312057	0.342000	0.353876	
712	0.308989	147	0.292517	141	0.602837	2.102489	712	0.308989	0.348000	0.353855	
